% This is a graph.
n 621.1392269858832 410.6796042433063 0
n 104.999986479554 322.08737123359754 2
n 283.32277128968053 439.8058178355393 3
n 482.6898598972755 324.51455569961695 4
n 678.7341636947439 322.08737123359754 6
n 501.51897382132614 237.13591492291795 7
n 676.5189738213262 188.5922256025296 8
n 462.753151036516 102.42717705884026 9
n 330.9493535681616 87.86407026272376 10
n 194.71517635297172 199.51455569961695 11
n 356.4240371124654 211.65047802971404 12
e 2 3 1 2
e 3 4 2 21
e 4 0 4 1
e 0 6 15 1
e 6 7 16 2
e 7 4 20 0
e 6 8 21 6
e 8 7 22 4
e 2 7 23 4
e 7 9 24 8
e 9 8 25 3
e 9 10 26 3
e 4 2 27 3
e 11 2 28 5
e 10 11 29 4
e 10 12 30 6
e 12 7 31 1
e 3 10 32 1
e 12 11 33 6
% End of graph

