% Graph saved at Thu Jan 12 2023 14:38:12 GMT+0100 (heure normale d’Europe centrale)
n 241 100 2
n 382 200 3
n 244.55694850487046 217.71843919476257 4
n 240.12656875803498 297.81552657340336 6
n 235.69618901119955 363.3495071559276 7
n 233.48099913778182 439.8058178355393 8
n 397.40504977069327 244.41746832097618 9
n 379.68353078335144 290.5339731753451 10
n 371.9303662263895 417.96115764136454 11
n 374.1455560998072 490.776691621947 12
n 523.6708725555034 359.7087304568985 13
n 108.32277128968057 239.56309938893736 15
e 2 3 3 1
e 8 12 13 1
e 8 11 14 1
e 6 10 15 1
e 6 12 16 1
e 4 10 17 1
e 4 9 18 1 
e 12 13 19 1
e 11 13 21 1
e 10 13 22 1
e 9 13 23 1
e 3 13 24 1
e 15 8 25 1
e 15 7 26 1
e 15 6 27 1
e 15 4 28 1
e 15 2 29 1
